raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['amarillo claro'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['amarillo claro'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['amarillo claro'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,morelos,ayala,el vergel,928.0,763,24,['blanco'],10,16.14,bajas,semi-caliente,intermedias
maíz raza olotillo,morelos,tlaquiltenango,xicatlacotla,809.0,803,24,['blanco'],10.4,14.74,bajas,semi-caliente,intermedias
maíz raza olotillo,oaxaca,san bartolome loxicha,la chinilla,652.0,1022,24,['blanco'],9.7,19.045,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,barrio coyote,126.0,1049,26,['blanco'],10.45,17.875,bajas,caliente,abundantes
maíz raza olotillo,chiapas,ocozocoautla de espinosa,ocuilapa de juarez,948.0,1000,23,['amarillo claro'],10,17,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san miguel coatlan,lindavista,1489.0,929,20,['blanco'],11.7,18.175,mediana altitud,templada,abundantes
maíz raza olotillo,guerrero,tepecoacuilco de trujano,palula,666.0,733,26,['blanco cremoso'],12,15.1,bajas,caliente,intermedias
maíz raza olotillo,veracruz de ignacio de la llave,alpatlahuac,alpatlahua,1854.0,1054,15,"['amarillo claro', 'rojo']",10,16.2,altas,fría,abundantes
maíz raza olotillo,hidalgo,jaltocan,la ilusión,109.0,1484,24,['amarillo'],10.8,14.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,jaltocan,la ilusión,109.0,1484,24,['amarillo'],8,15,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,río molino,751.0,1020,24,['blanco'],10.75,14.68,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,castillo de teayo,el xuchitl,137.0,1291,24,['blanco cremoso'],11.4,21.33,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,castillo de teayo,el xuchitl,137.0,1291,24,['blanco cremoso'],11.6,20.24,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,castillo de teayo,el xuchitl,137.0,1291,24,['blanco cremoso'],11.6,20.9,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,castillo de teayo,el xuchitl,137.0,1291,24,['blanco cremoso'],11.6,19.24,bajas,semi-caliente,abundantes
