taxon_id,taxon,genero,especie,subespecie,raza,fuente,proyecto,procedencia,fecha_colecta_observacion,colector_observador,determinador,id,estado,municipio,localidad,latitud,longitud,altitud
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-12/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",8b90a737f923d9b9a1dd33c688598403,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Sabroso",16.0274294,-96.7838516,1203
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-12/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",9d98be1b2439a521f68a6b33d71a7d44,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Sabroso",16.0274294,-96.7838516,1203
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-12/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",c779a48855b520033548bc7e7f993eea,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Sabroso",16.0274294,-96.7838516,1203
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,1952/9999,"Rogelio del Toro Stodelly","Rogelio del Toro Stodelly",e6a0970d08b9e54b9aa063e71023ab2b,"SAN LUIS POTOSI",XILITLA,Tlamaya,21.4274997,-98.9941697,551
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-09-28/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",78826a0cf9f5f20b045a5864918fb01b,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Gordo",15.9849722,-96.7925,653
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-09-28/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",bde983174b93efac674d65b0555d9d90,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Gordo",15.9849722,-96.7925,653
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-12/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",eb6eb319241ea7b8b54cdfe783d63f51,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Gordo",15.9849722,-96.7925,653
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-04-20/9999,"Víctor Antonio Vidal Martínez; Filiberto Herrera Cedano; Juan Manuel Hernández Casillas; Micaela de la O Olán","Juan Manuel Hernández Casillas",b250bd3b4a429d7fbd320f2d232bc0e3,NAYARIT,"BAHIA DE BANDERAS","La Ceiba",20.9353888,-105.0693611,82
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-02-08/9999,"Artemio Palafox Caballero; Andrés Zambada Martínez","Juan Manuel Hernández Casillas",46902767968a5abf1828907b5055ac18,"VERACRUZ DE IGNACIO DE LA LLAVE",MECAYAPAN,"Plan Agrario, comunidad Plan Agrario",18.2867777,-94.8166111,544
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2003-01-30/9999,"Hugo Perales Rivera","Hugo Perales Rivera",5eab820af507d9d1e196228669f61c43,CHIAPAS,TZIMOL,"Manuel Velasco Suárez",16.1441697,-92.2441697,668
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ007,Colectado,2007-08-17/9999,"Victor Hugo Chávez Tovar; Victor Hugo Rivas Rodríguez; Martín Rodríguez Alvarado","Suketoshi Taba",3da5928790a46f543abe39372de757a7,"SAN LUIS POTOSI",TAMPACAN,Totomoxtla,21.3769444,-98.7641667,103
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ007,Colectado,2007-08-17/9999,"Victor Hugo Chávez Tovar; Victor Hugo Rivas Rodríguez; Martín Rodríguez Alvarado","Suketoshi Taba",f19158e86f470eaf982f8a7c40efba35,"SAN LUIS POTOSI",TAMPACAN,Totomoxtla,21.3769444,-98.7641667,103
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2005-02-10/9999,"F Humberto Castro García; Nicolás Dillanes Ramírez","Flavio Aragón Cuevas",6648bc175d380630dff4082e06b1cf6e,OAXACA,"SAN JUAN GUICHICOVI",CHOCOLATE,16.96083,-95.11083,336
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2005-02-10/9999,"F Humberto Castro García; Nicolás Dillanes Ramírez","Flavio Aragón Cuevas",9eb5fd8b277a333804678d83b63da44f,OAXACA,"SAN JUAN GUICHICOVI",CHOCOLATE,16.96083,-95.11083,336
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,2002-02-15/9999,"F Humberto Castro García; Simón Méndez","Flavio Aragón Cuevas",a3d1f17cab95c00cd2f092f305fa4cf7,OAXACA,"SANTA CATARINA JUQUILA","Santa María Yolotepec",16.25,-97.1855555,1746
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-01/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",6468f793dd5b886eb42dc4490038fff3,OAXACA,"SAN AGUSTIN LOXICHA","El Campanario",16.0818056,-96.6249444,1189
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-07-26/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",be6e3038ac5c7e825ec1f97eba895bc4,OAXACA,"SAN AGUSTIN LOXICHA","Río Guayabal",15.8999722,-96.6773333,442
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-11-24/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",018a778c3e3c929068e137f94a6fa94b,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Gordo",15.9866944,-96.7927222,757
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-12/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",428100a53ae483ec8b20821498f116ea,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Gordo",15.9866944,-96.7927222,757
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-11-25/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",544977faac0f8fbb6d1b6cf8cb310cd4,OAXACA,"SAN BALTAZAR LOXICHA","Cerro Gordo",15.9866944,-96.7927222,757
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-07-21/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",114573bc300fdc2418c59950aac6befe,OAXACA,"SANTA CATARINA LOXICHA","La Nueva Esperanza",16.0724722,-96.7151667,865
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2009-06-09/9999,"Artemio Palafox Caballero; Néstor Francisco Nicolás; Andrés Zambada Martínez","Juan Manuel Hernández Casillas",0f662b14aaa4506cd08ea7a92a8b2d76,"VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","Cuesta de Laja, comunidad Cuesta de Laja",18.2932491,-95.2222977,153
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2011-01-22/9999,"Noel Orlando Gómez Montiel; Francisco Palemón Alberto","Noel Orlando Gómez Montiel; Francisco Palemón Alberto",990322551905195b55ccccf4690bceb0,GUERRERO,"ATOYAC DE ALVAREZ","El Cocuyachi",17.2264175,-100.2937775,553
