race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,Chiapas,La Trinitaria,El Salvador,1720,1364,17,['white'],12,14.6,medium altitude,cold,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Platon Sanchez,Platón Sánchez,62,1322,24,['yellow'],10,16,low,semi-warm,abundant
maíz raza olotillo,Chiapas,La Independencia,Rio Blanco,909,1579,22,['light yellow'],,,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Tlaola,Chicohuaxtla,1194,2228,18,['creamy white'],10,16.4857142857143,low,temperate,very abundant
maíz raza olotillo,Guerrero,Tixtla de Guerrero,Cerca de la Localidad el Durazno,1923,1176,18,['creamy white'],10.8,19.3,high,cold,abundant
maíz raza olotillo,Chiapas,Berriozabal,Berriozabal,925,1000,23,['light yellow'],,,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Berriozabal,Berriozabal,925,1000,23,['white'],9,16.3,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Agua Blanca de Iturbide,Ranchería Potrero Monroy,1792,1304,16,['orange-yellow'],10.6,16.38,medium altitude,cold,abundant
maíz raza olotillo,Chiapas,Frontera Comalapa,Cerca de Rodulfo Figueroa,586,1319,25,['white'],,,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Comitan de Dominguez,"Jusnajab, la Laguna",1864,1142,16,['light yellow'],,,high,cold,abundant
maíz raza olotillo,Chiapas,La Independencia,San Marcos,1484,1270,18,['light yellow'],,,medium altitude,temperate,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Papantla,"Rancho la Playa, Salida Cerro de las Flores",12,1298,24,['creamy white'],12.2,18.9,low,semi-warm,abundant
maíz raza olotillo,Puebla,Chietla,Cerca de Derramadero,1182,720,23,['creamy white'],9.33333333333333,14.7166666666667,low,semi-warm,intermediate
maíz raza olotillo,Guerrero,Leonardo Bravo,Los Morros,2085,1395,17,['creamy white'],9.2,23,high,cold,very abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Chilar,307,1083,25,['white'],10.5,14.505,low,hot,abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['white', 'yellow']",10.8,18.8,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['yellow', 'white']",9.33,17,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Matlapa,Chalchocoyo,266,1628,23,"['yellow', 'white', 'blue']",9.2,18,low,semi-warm,very abundant
