"plate_name","well","sample_name","accession_ID","concentration","volume","DNA_yield","accession_label","country","state","municipality","locality","latitude","longitude","altitude","scale","Race"
"olotillo_plate1","A9","CHIS_L45_3","CHIS_L45",40.6,30,1218,45,"México","Chiapas","Ocozocuatla","La Borcelana, Ejido Ocozocuatla",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","B9","CHIS_L34_4","CHIS_L34",58.4,30,1752,34,"México","Chiapas","Ocozocuatla","Ejido San Rafael",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","C9","NAY_N27_1","NAY_N27",31.4,30,942,27,"México","Nayarit","Ixtlán del Río","Cacalutan",21.1166833,-104.2615556,902,"National","Olotillo"
"olotillo_plate1","D9","GRO_N15_2","GRO_N15",84.6,30,2538,15,"México","Guerrero","San Luis Acatlán","Cuanacaxtitlan",16.7951944,-98.63719444,438,"National","Olotillo"
"olotillo_plate1","E9","OAX_N31_3","OAX_N31",49.1,30,1473,31,"México","Oaxaca","","",NA,NA,NA,"National","Olotillo"
"olotillo_plate1","F9","SLP_E3_1","SLP_E49",37.9,30,1137,NA,"México","San Luis Potosí","Xilitla","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","G9","GRO_N24_1","GRO_N24",64.4,30,1932,24,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0221111,-99.98516667,520,"National","Olotillo"
"olotillo_plate1","H9","GRO_N24_3","GRO_N24",62.7,30,1881,24,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0221111,-99.98516667,520,"National","Olotillo"
"olotillo_plate1","A10","CHIS_L36_2","CHIS_L36",95.3,30,2859,36,"México","Chiapas","Jiquipilas","Benito Juárez",16.782556,-93.608043,NA,"Local","Olotillo"
"olotillo_plate1","B10","GRO_N16_1","GRO_N16",104,30,3120,16,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8158056,-98.68438889,615,"National","Olotillo"
"olotillo_plate1","C10","HGO_E6_1","HGO_E50",48.8,30,1464,NA,"México","Hidalgo","Jaltocán","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","D10","NAY_N29_1","NAY_N29",79.4,30,2382,29,"México","Nayarit","Ixtlán del Río","Los Sauces, Cacalutan",21.1324167,-104.2629167,798,"National","Olotillo"
"olotillo_plate1","E10","HGO_E5_1","HGO_E50",22.8,30,684,NA,"México","Hidalgo","Jaltocán","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","F10","GRO_N26_1","GRO_N26",60.1,30,1803,26,"México","Guerrero","Coyuca de Benítez","Paso Real",17.08425,-100.0758333,136,"National","Olotillo"
"olotillo_plate1","G10","GRO_N26_3","GRO_N26",67.9,30,2037,26,"México","Guerrero","Coyuca de Benítez","Paso Real",17.08425,-100.0758333,136,"National","Olotillo"
"olotillo_plate1","H10","GRO_N16_2","GRO_N16",71,30,2130,16,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8158056,-98.68438889,615,"National","Olotillo"
"olotillo_plate1","A11","CHIS_L41_1","CHIS_L41",31.7,30,951,41,"México","Chiapas","Ocozocuatla","Rancho El Pitutal",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","B11","CHIS_R02_1","CHIS_R02",46.9,30,1407,2,"México","Chiapas","Villaflores","Ricardo Flores Magón",16.29907311,-93.59203858,712.9296236,"Regional","Olotillo"
"olotillo_plate1","C11","CHIS_R40_3","CHIS_R40",38.5,30,1155,40,"México","Chiapas","Chiapa de Corzo","Narciso Mendoza",16.57778189,-92.98854284,435.0801469,"Regional","Olotillo"
"olotillo_plate1","D11","CAM_E14_1","CAM_E54",27.3,30,819,NA,"México","Campeche","Puerto Campeche","",NA,NA,NA,"Extra","Dzit-bacal"
"olotillo_plate1","E11","NAY_N27_4","NAY_N27",43.5,30,1305,27,"México","Nayarit","Ixtlán del Río","Cacalutan",21.1166833,-104.2615556,902,"National","Olotillo"
"olotillo_plate1","F11","NAY_N30_2","NAY_N30",72.5,30,2175,30,"México","Nayarit","La Yesca","Puente de Camotlán",21.7060833,-104.0749444,1136,"National","Olotillo"
"olotillo_plate1","G11","CHIS_L04_2","CHIS_L04",112,30,3360,4,"México","Chiapas","Ocozocuatla","El Gavilán",16.74958638,-93.45830996,767.6349655,"Local","Olotillo"
"olotillo_plate1","H11","OAX_N32_4","OAX_N32",67.5,30,2025,32,"México","Oaxaca","","",NA,NA,NA,"National","Olotillo"
"olotillo_plate1","A12","CHIS_L33_2","CHIS_L33",54.2,30,1626,33,"México","Chiapas","Ocozocuatla","Rivera \El Gavilán\",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","B12","GRO_N22_2","GRO_N22",82.8,30,2484,22,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8115278,-98.68405556,641,"National","Olotillo"
"olotillo_plate1","C12","OAX_N32_2","OAX_N32",64.2,30,1926,32,"México","Oaxaca","","",NA,NA,NA,"National","Olotillo"
"olotillo_plate1","D12","CHIS_R02_2","CHIS_R02",57.6,30,1728,2,"México","Chiapas","Villaflores","Ricardo Flores Magón",16.29907311,-93.59203858,712.9296236,"Regional","Olotillo"
"olotillo_plate1","E12","CAM_E15_1","CAM_E55",32.7,30,981,NA,"México","Campeche","Champoton","",NA,NA,NA,"Extra","Dzit-bacal"
"olotillo_plate1","F12","CHIS_L34_3","CHIS_L34",87,30,2610,34,"México","Chiapas","Ocozocuatla","Ejido San Rafael",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","G12","CHIS_L35_3","CHIS_L35",73.8,30,2214,35,"México","Chiapas","Ocozocuatla","El Gavilán",NA,NA,NA,"Local","Olotillo"
"olotillo_plate2","A1","GAV_F1R2_1","GAV_F1R2",111,30,3330,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","B1","GRO_N23_3","GRO_N23",58.6,30,1758,23,"México","Guerrero","Coyuca de Benítez","La Lima",16.9850833,-99.86388889,324,"_N","Olotillo"
"olotillo_plate2","C1","CHIS_L34_1","CHIS_L34",32.4,30,972,34,"México","Chiapas","Ocozocuatla","Ejido San Rafael",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","D1","CHIS_L34_2","CHIS_L34",49.6,30,1488,34,"México","Chiapas","Ocozocuatla","Ejido San Rafael",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","E1","CHIS_L43_3","CHIS_L43",51.5,30,1545,43,"México","Chiapas","Ocozocuatla","Región Mazotho_ejido Ocozocuatla ",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","F1","GRO_N13_3","GRO_N13",92.8,30,2784,13,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8115278,-98.68422222,610,"_N","Olotillo"
"olotillo_plate2","G1","GAV_F1L3_1","GAV_F1L3",118,30,3540,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","H1","CHIS_R05_4","CHIS_R05",42.1,30,1263,5,"México","Chiapas","Cintalapa","Corazón del Valle",16.41680096,-93.98399715,784.852259,"_R","Olotillo"
"olotillo_plate2","A2","NAY_N47_1","NAY_N47",83,30,2490,47,"México","Nayarit","La Yesca","Huajimic",21.6436944,-104.3425556,1211,"_N","Olotillo"
"olotillo_plate2","B2","CHIS_L35_4","CHIS_L35",56.2,30,1686,35,"México","Chiapas","Ocozocuatla","El Gavilán",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","C2","CHIS_L35_1","CHIS_L35",35,30,1050,35,"México","Chiapas","Ocozocuatla","El Gavilán",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","D2","OAX_N32_1","OAX_N32",48.1,30,1443,32,"México","Oaxaca","","",NA,NA,NA,"_N","Olotillo"
"olotillo_plate2","E2","GAV_F1L2_2","GAV_F1L2",101,30,3030,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","F2","CHIS_R06_4","CHIS_R06",39.4,30,1182,6,"México","Chiapas","Suchiapa","El Recreo \Plan de Mulumi\",16.63448026,-93.1205578,427.5911362,"_R","Olotillo"
"olotillo_plate2","G2","CHIS_L42_4","CHIS_L42",31.7,30,19.7,42,"México","Chiapas","Ocozocuatla","Rancho San Isidro",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","H2","GRO_N20_3","GRO_N20",127,30,3810,20,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0998889,-99.99258333,520,"_N","Olotillo"
"olotillo_plate2","A3","CHIS_L37_3","CHIS_L37",45,30,1350,37,"México","Chiapas","Ocozocuatla","San Jorge km 18",16.7129861,-93.52033333,784,"_L","Olotillo"
"olotillo_plate2","B3","GRO_N14_3","GRO_N14",84.5,30,2535,14,"México","Guerrero","San Luis Acatlán","El Carmen",16.8155,-98.76111111,287,"_N","Olotillo"
"olotillo_plate2","C3","GRO_N18_4","GRO_N18",85.8,30,2574,18,"México","Guerrero","Coyuca de Benítez","Atoyaquillo",17.1046944,-100.0449722,175,"_N","Olotillo"
"olotillo_plate2","D3","GAV_F1N3_1","GAV_F1N3",78.6,30,2358,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","E3","GAV_F1R3_1","GAV_F1R3",86.6,30,2598,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","F3","CHIS_R40_4","CHIS_R40",59.3,30,1779,40,"México","Chiapas","Chiapa de Corzo","Narciso Mendoza",16.57778189,-92.98854284,435.0801469,"_R","Olotillo"
"olotillo_plate2","G3","CHIS_L38_2","CHIS_L38",36.9,30,1107,38,"México","Chiapas","Ocozocuatla","El Aguacero",16.780436,-93.492936,775,"_L","Mix"
"olotillo_plate2","H3","VER_E19_1","VER_E57",139,30,4170,NA,"México","Veracruz","","",NA,NA,NA,"_E","Olotillo"
"olotillo_plate2","A4","GRO_N14_4","GRO_N14",86.3,30,2589,14,"México","Guerrero","San Luis Acatlán","El Carmen",16.8155,-98.76111111,287,"_N","Olotillo"
"olotillo_plate2","B4","CHIS_L45_4","CHIS_L45",78.6,30,2358,45,"México","Chiapas","Ocozocuatla","La Borcelana, Ejido Ocozocuatla",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","C4","GAV_F1R1_1","GAV_F1R1",107,30,3210,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","D4","OAX_N31_2","OAX_N31",63.2,30,1896,31,"México","Oaxaca","","",NA,NA,NA,"_N","Olotillo"
"olotillo_plate2","E4","CHIS_L36_8","CHIS_L36",56.7,30,1701,36,"México","Chiapas","Jiquipilas","Benito Juárez",16.782556,-93.608043,NA,"_L","Olotillo"
"olotillo_plate2","F4","OAX_N31_1","OAX_N31",45.5,30,1365,31,"México","Oaxaca","","",NA,NA,NA,"_N","Olotillo"
"olotillo_plate2","G4","CHIS_E24_1","CHIS_E59",28.6,30,858,NA,"México","Chiapas","","",NA,NA,NA,"_E","Olotillo"
"olotillo_plate2","H4","GRO_N16_3","GRO_N16",88.1,30,2643,16,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8158056,-98.68438889,615,"_N","Olotillo"
"olotillo_plate2","A5","CHIS_L33_3","CHIS_L33",56.3,30,1689,33,"México","Chiapas","Ocozocuatla","Rivera \El Gavilán\",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","B5","GAV_F1N1_1","GAV_F1N1",100,30,3000,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","C5","GAV_F1R3_2","GAV_F1R3",157,30,4710,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","D5","GRO_N15_4","GRO_N15",103,30,3090,15,"México","Guerrero","San Luis Acatlán","Cuanacaxtitlan",16.7951944,-98.63719444,438,"_N","Olotillo"
"olotillo_plate2","E5","CHIS_L45_1","CHIS_L45",60.2,30,1806,45,"México","Chiapas","Ocozocuatla","La Borcelana, Ejido Ocozocuatla",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","F5","GAV_F1R2_2","GAV_F1R2",116,30,3480,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","G5","CHIS_L44_4","CHIS_L44",40,30,1200,44,"México","Chiapas","Ocozocuatla","San Jorge km 18",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","H5","VER_E20_1","VER_E57",132,30,3960,NA,"México","Veracruz","","",NA,NA,NA,"_E","Olotillo"
"olotillo_plate2","A6","GRO_N19_4","GRO_N19",74,30,2220,19,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8155,-90.68991667,615,"_N","Olotillo"
"olotillo_plate2","B6","GAV_F1R1_2","GAV_F1R1",84.4,30,2532,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","C6","CHIS_R40_1","CHIS_R40",19.8,30,8.2,40,"México","Chiapas","Chiapa de Corzo","Narciso Mendoza",16.57778189,-92.98854284,435.0801469,"_R","Olotillo"
"olotillo_plate2","D6","CHIS_L44_3","CHIS_L44",23.2,30,696,44,"México","Chiapas","Ocozocuatla","San Jorge km 18",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","E6","OAX_N32_5","OAX_N32",57.6,30,1728,32,"México","Oaxaca","","",NA,NA,NA,"_N","Olotillo"
"olotillo_plate2","F6","CHIS_L08_4","CHIS_L08",26,30,780,8,"México","Chiapas","Ocozocuatla","San Isidro, Ciénega Silviana_predio",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","G6","GRO_N22_4","GRO_N22",49.5,30,1485,22,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8115278,-98.68405556,641,"_N","Olotillo"
"olotillo_plate2","H6","GRO_N23_4","GRO_N23",53.5,30,1605,23,"México","Guerrero","Coyuca de Benítez","La Lima",16.9850833,-99.86388889,324,"_N","Olotillo"
"olotillo_plate2","A7","GAV_F1N2_1","GAV_F1N2",117,30,3510,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","B7","GRO_N18_3","GRO_N18",75,30,2250,18,"México","Guerrero","Coyuca de Benítez","Atoyaquillo",17.1046944,-100.0449722,175,"_N","Olotillo"
"olotillo_plate2","C7","CHIS_L38_3","CHIS_L38",19.8,30,8.2,38,"México","Chiapas","Ocozocuatla","El Aguacero",16.780436,-93.492936,775,"_L","Mix"
"olotillo_plate2","D7","CHIS_R11_4","CHIS_R11",32.8,30,984,11,"México","Chiapas","El Parral","El Parral",16.36401651,-93.00194529,651.2208794,"_R","Olotillo"
"olotillo_plate2","E7","CHIS_L43_2","CHIS_L43",49,30,1470,43,"México","Chiapas","Ocozocuatla","Región Mazotho_ejido Ocozocuatla ",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","F7","NAY_N30_4","NAY_N30",23.6,30,4.6,30,"México","Nayarit","La Yesca","Puente de Camotlán",21.7060833,-104.0749444,1136,"_N","Olotillo"
"olotillo_plate2","G7","NAY_N47_4","NAY_N47",63.4,30,1902,47,"México","Nayarit","La Yesca","Huajimic",21.6436944,-104.3425556,1211,"_N","Olotillo"
"olotillo_plate2","H7","GAV_F1N1_2","GAV_F1N1",71.5,30,2145,NA,"México","","","",NA,NA,NA,"_F","Olotillo"
"olotillo_plate2","A8","CHIS_L42_2","CHIS_L42",54.4,30,1632,42,"México","Chiapas","Ocozocuatla","Rancho San Isidro",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","B8","CHIS_L43_6","CHIS_L43",74.2,30,2226,43,"México","Chiapas","Ocozocuatla","Región Mazotho_ejido Ocozocuatla ",NA,NA,NA,"_L","Olotillo"
"olotillo_plate2","C8","CHIS_L38_1","CHIS_L38",23,30,690,38,"México","Chiapas","Ocozocuatla","El Aguacero",16.780436,-93.492936,775,"_L","Mix"
"olotillo_plate2","D8","CHIS_L33_4","CHIS_L33",60.1,30,1803,33,"México","Chiapas","Ocozocuatla","Rivera \El Gavilán\",NA,NA,NA,"_L","Olotillo"
