"plate_name"	"well"		"sample_name"	"accession_ID"	"concentration"	"volume"	"DNA_yield"	"accession_label"		"country"	"state"	"municipality"	"locality"	"latitude"	"longitude"	"altitude"	"source"	"scale"
"olotillo_plate2"	"A7"		"GAV_F1N2_1"	"GAV_F1N2"	117	30	3510											"_F"
"olotillo_plate2"	"B7"		"GRO_N18_3"	"GRO_N18"	75	30	2250	18		"México"	"Guerrero"	"Coyuca de Benítez"	"Atoyaquillo"	17.1046944	-100.0449722	175		"_N"
"olotillo_plate2"	"C7"		"CHIS_L38_3"	"CHIS_L38"	19.8	30	8.2	38		"México"	"Chiapas"	"Ocozocuatla"	"El Aguacero"	16.780436	-93.492936	775		"_L"
"olotillo_plate2"	"D7"		"CHIS_R11_4"	"CHIS_R11"	32.8	30	984	11		"México"	"Chiapas"	"El Parral"	"El Parral"	16.36401651	-93.00194529	651.2208794		"_R"
"olotillo_plate2"	"E7"		"CHIS_L43_2"	"CHIS_L43"	49	30	1470	43		"México"	"Chiapas"	"Ocozocuatla"	"Región Mazotho_ejido Ocozocuatla "					"_L"
"olotillo_plate2"	"F7"		"NAY_N30_4"	"NAY_N30"	23.6	30	4.6	30		"México"	"Nayarit"	"La Yesca"	"Puente de Camotlán"	21.7060833	-104.0749444	1136		"_N"
"olotillo_plate2"	"G7"		"NAY_N47_4"	"NAY_N47"	63.4	30	1902	47		"México"	"Nayarit"	"La Yesca"	"Huajimic"	21.6436944	-104.3425556	1211		"_N"
"olotillo_plate2"	"H7"		"GAV_F1N1_2"	"GAV_F1N1"	71.5	30	2145											"_F"
"olotillo_plate2"	"A8"		"CHIS_L42_2"	"CHIS_L42"	54.4	30	1632	42		"México"	"Chiapas"	"Ocozocuatla"	"Rancho San Isidro"					"_L"
"olotillo_plate2"	"B8"		"CHIS_L43_6"	"CHIS_L43"	74.2	30	2226	43		"México"	"Chiapas"	"Ocozocuatla"	"Región Mazotho_ejido Ocozocuatla "					"_L"
"olotillo_plate2"	"C8"		"CHIS_L38_1"	"CHIS_L38"	23	30	690	38		"México"	"Chiapas"	"Ocozocuatla"	"El Aguacero"	16.780436	-93.492936	775		"_L"
"olotillo_plate2"	"D8"		"CHIS_L33_4"	"CHIS_L33"	60.1	30	1803	33		"México"	"Chiapas"	"Ocozocuatla"	"Rivera \"El Gavilán\""					"_L"
"olotillo_plate2"	"E8"		"CHIS_R02_3"	"CHIS_R02"	58	30	1740	2		"México"	"Chiapas"	"Villaflores"	"Ricardo Flores Magón"	16.29907311	-93.59203858	712.9296236		"_R"
"olotillo_plate2"	"F8"		"CHIS_R05_3"	"CHIS_R05"	49	30	1470	5		"México"	"Chiapas"	"Cintalapa"	"Corazón del Valle"	16.41680096	-93.98399715	784.852259		"_R"
"olotillo_plate2"	"G8"		"CAM_E25_1"	"CAM_E25"	147	30	4410											"_E"
"olotillo_plate2"	"H8"		"XXX_XXX_14"	"XXX_XXX_14"	55.3	30	1659											"_X"
"olotillo_plate2"	"A9"		"CAM_E22_1"	"CAM_E22"	111	30	3330											"_E"
"olotillo_plate2"	"B9"		"CHIS_L08_1"	"CHIS_L08"	30.6	30	31.12	8		"México"	"Chiapas"	"Ocozocuatla"	"San Isidro, Ciénega Silviana_predio"					"_L"
